X1         Y1       X2       Y2       X3     Y3       X4       Y4
-0.053  0.9986   -0.0273  -0.9996   0.3812  0.9245   -0.7193   -0.6947
0.2147  0.9767   0.7871    0.6168   0.4552  -0.8904  0.5825    -0.8128
0.7837  -0.6211  0.9963   -0.0856   0.7946  -0.6072  0.7352    -0.6778
  
    
   
  
    
    
   
    
    
    
