snr qam gray mix group
8	0.195	0.295	0.355	0.351
9	0.173	0.264	0.334	0.325
10	0.153	0.234	0.313	0.297
11	0.133	0.206	0.292	0.267
12	0.115	0.178	0.268	0.234
13	0.097	0.15	0.244	0.199
14	0.08	0.123	0.215	0.163
15	0.0642	0.0969	0.185	0.13
16	0.0491	0.0728	0.151	0.0968
17	0.0357	0.0518	0.116	0.0688
17.5	0.0296	0.042	0.0981	0.0557
18	0.0243	0.0341	0.0821	0.0453
18.5	0.0194	0.0266	0.0659	0.035
19	0.015	0.0201	0.0512	0.0263
19.5	0.0115	0.0147	0.0387	0.0191
20	0.00847	0.0107	0.0284	0.0139
20.5	0.0061	0.00717	0.0195	0.00938
21	0.00418	0.00477	0.0134	0.00641
21.5	0.00274	0.00294	0.00822	0.00385
22	0.00175	0.0018	0.00495	0.00233
22.5	0.001056	0.001022	0.00285	0.0013
23	0.0005937	0.000555	0.00151	0.000716
23.5	0.000322	0.00025875	0.000763	0.00034458
24	0.0001585	0.000121	0.00035	0.00015953
24.5	7.33e-05	4.43e-05	0.000135	5.43e-05
25	3.105e-05	8.75e-06	3.87e-05	1.33e-05
