snr qam gray mix group
14	0.161	0.2	0.244	0.242
14.5	0.15	0.188	0.237	0.232
15	0.141	0.177	0.229	0.223
15.5	0.133	0.165	0.221	0.212
16	0.124	0.155	0.214	0.202
16.5	0.117	0.144	0.206	0.191
17	0.108	0.133	0.199	0.18
17.5	0.1	0.124	0.191	0.169
18	0.0935	0.115	0.182	0.157
18.5	0.086	0.105	0.175	0.145
19	0.0785	0.0957	0.166	0.133
19.5	0.0724	0.0869	0.157	0.12
20	0.0652	0.0784	0.147	0.108
20.5	0.0584	0.0697	0.138	0.097
21	0.0521	0.0619	0.127	0.0857
21.5	0.0457	0.0535	0.116	0.0741
22	0.04	0.046	0.104	0.0634
22.5	0.0344	0.0387	0.0927	0.0539
23	0.0294	0.0324	0.081	0.0451
23.5	0.0246	0.0262	0.0681	0.0362
24	0.0198	0.0212	0.0575	0.0291
24.5	0.0161	0.0165	0.0461	0.0226
25	0.0126	0.0124	0.0365	0.0172
25.5	0.0097	0.00938	0.0275	0.0128
26	0.00717	0.00642	0.0199	0.00887
26.5	0.00507	0.00451	0.0141	0.00616
27	0.003578	0.00294	0.00925	0.00405
27.5	0.00237	0.0018585	0.005865	0.002555
28	0.001513	0.00113	0.00355	0.00154
28.5	0.0009449	0.000592	0.00198	0.000841
29	0.00053338	0.00032	0.00112	0.000471
29.5	0.00028775	0.0001615	0.000496	0.00023
30	0.00014375	6.677e-05	0.000231	9.25e-05
30.5	6.5875e-05	3.16e-05	0.000105	4.62e-05
31	2.3375e-05	1.13e-05	4.06e-05	1.72e-05
