ebn0_db     BER          FER        
0.00000e+00 1.455625e-01 7.690000e-01
0.50000e+00 1.075312e-01 6.210000e-01
1.00000e+00 7.340625e-02 4.590000e-01
1.50000e+00 4.371875e-02 2.850000e-01
2.00000e+00 2.087500e-02 1.470000e-01
2.50000e+00 8.431312e-03 6.600660e-02
3.00000e+00 3.686732e-03 3.349460e-02
3.50000e+00 1.075336e-03 9.348583e-03
4.00000e+00 3.067847e-04 3.205587e-03
4.50000e+00 6.145790e-05 6.391622e-04
5.00000e+00 1.203639e-05 1.528897e-04
