ebn0_db    BER         FER         
0.00000e+00 1.43455e-01 7.50093e-01 
5.00000e-01 1.06181e-01 6.03645e-01 
1.00000e+00 6.98271e-02 4.32037e-01 
1.50000e+00 4.07731e-02 2.74411e-01 
2.00000e+00 1.99847e-02 1.44336e-01 
2.50000e+00 8.45751e-03 6.65234e-02 
3.00000e+00 2.89004e-03 2.50187e-02 
3.50000e+00 8.80168e-04 8.13077e-03 
4.00000e+00 1.89072e-04 1.99606e-03 
4.50000e+00 3.92342e-05 4.60165e-04 
5.00000e+00 7.94088e-06 1.07507e-04
